CandidateName,AppliedRole,InterviewStage,Interviewer,InterviewDate,CommunicationScore,TechnicalScore,FeedbackText,Recommended,PanelistFatigueFlag
Candidate 137,Software Engineer,Managerial Interview,Panelist 19,2025-10-29,7.0,10.0,"Strong problem-solving, explained API design well.",Maybe,No
Candidate 138,Software Engineer,Technical Interview,Panelist 13,2025-11-14,10.0,6.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 138,Software Engineer,Managerial Interview,Panelist 25,2025-11-15,3.0,9.0,Needs improvement in communication.,Yes,No
Candidate 139,Software Engineer,Technical Interview,Panelist 18,2025-10-15,9.0,9.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 139,Software Engineer,Managerial Interview,Panelist 5,2025-10-19,10.0,10.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 140,Software Engineer,Technical Interview,Panelist 13,2025-09-11,10.0,7.0,Struggled with edge cases in coding round.,No,No
Candidate 141,Software Engineer,Technical Interview,Panelist 11,2025-09-23,6.0,9.0,Needs improvement in communication.,No,No
Candidate 141,Software Engineer,Managerial Interview,Panelist 16,2025-09-29,10.0,10.0,Needs improvement in time complexity.,Yes,No
Candidate 142,Software Engineer,Technical Interview,Panelist 15,2025-09-18,3.0,3.0,"Strong problem-solving, explained DP well.",Yes,No
Candidate 142,Software Engineer,Managerial Interview,Panelist 16,2025-09-20,3.0,3.0,"Strong problem-solving, explained DP well.",No,No
Candidate 143,Software Engineer,Technical Interview,Panelist 16,2025-10-13,3.0,7.0,Needs improvement in communication.,No,No
Candidate 143,Software Engineer,Managerial Interview,Panelist 23,2025-10-19,3.0,3.0,Struggled with edge cases in coding round.,No,No
Candidate 144,Software Engineer,Technical Interview,Panelist 9,2025-10-19,8.0,10.0,Needs improvement in code clarity.,Yes,No
Candidate 144,Software Engineer,Managerial Interview,Panelist 20,2025-10-20,6.0,9.0,"Strong problem-solving, explained DP well.",Maybe,No
Candidate 145,Software Engineer,Technical Interview,Panelist 22,2025-11-16,7.0,6.0,Needs improvement in code clarity.,Maybe,No
Candidate 145,Software Engineer,Managerial Interview,Panelist 6,2025-11-23,4.0,9.0,Needs improvement in communication.,No,No
Candidate 147,Software Engineer,Technical Interview,Panelist 19,2025-10-15,6.0,10.0,Needs improvement in code clarity.,Yes,No
Candidate 147,Software Engineer,Managerial Interview,Panelist 11,2025-10-17,4.0,8.0,Needs improvement in communication.,Maybe,No
Candidate 149,Software Engineer,Technical Interview,Panelist 10,2025-11-16,7.0,10.0,Needs improvement in code clarity.,Yes,No
Candidate 149,Software Engineer,Managerial Interview,Panelist 15,2025-11-19,10.0,9.0,Needs improvement in code clarity.,No,No
Candidate 151,Software Engineer,Technical Interview,Panelist 22,2025-10-25,3.0,9.0,"Strong problem-solving, explained DP well.",No,No
Candidate 152,Software Engineer,Technical Interview,Panelist 9,2025-10-05,7.0,7.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 152,Software Engineer,Managerial Interview,Panelist 4,2025-10-12,7.0,10.0,Needs improvement in time complexity.,No,No
Candidate 152,Software Engineer,Offer,HR Team,2025-10-19,,,Declined due to delays in process.,N/A,No
Candidate 153,Software Engineer,Technical Interview,Panelist 24,2025-09-18,7.0,7.0,Struggled with edge cases in coding round.,No,No
Candidate 154,Software Engineer,Technical Interview,Panelist 1,2025-10-24,4.0,3.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 154,Software Engineer,Managerial Interview,Panelist 3,2025-10-30,3.0,4.0,Struggled with edge cases in coding round.,No,No
Candidate 155,Software Engineer,Technical Interview,Panelist 13,2025-09-26,9.0,10.0,Needs improvement in time complexity.,No,No
Candidate 156,Software Engineer,Technical Interview,Panelist 19,2025-09-21,7.0,5.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 156,Software Engineer,Managerial Interview,Panelist 22,2025-09-25,6.0,5.0,Struggled with edge cases in coding round.,Yes,No
Candidate 157,Software Engineer,Technical Interview,Panelist 13,2025-11-11,9.0,8.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 157,Software Engineer,Managerial Interview,Panelist 4,2025-11-14,10.0,10.0,Struggled with edge cases in coding round.,No,No
Candidate 158,Software Engineer,Technical Interview,Panelist 18,2025-11-02,6.0,3.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 159,Software Engineer,Technical Interview,Panelist 23,2025-10-11,8.0,4.0,Needs improvement in time complexity.,Yes,No
Candidate 159,Software Engineer,Managerial Interview,Panelist 15,2025-10-13,3.0,5.0,Struggled with edge cases in coding round.,Yes,No
Candidate 160,Software Engineer,Technical Interview,Panelist 17,2025-11-12,6.0,3.0,Needs improvement in time complexity.,Maybe,No
Candidate 162,Software Engineer,Technical Interview,Panelist 7,2025-10-18,7.0,9.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 162,Software Engineer,Managerial Interview,Panelist 17,2025-10-20,4.0,6.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 163,Software Engineer,Technical Interview,Panelist 22,2025-09-25,9.0,9.0,Needs improvement in code clarity.,Maybe,No
Candidate 163,Software Engineer,Managerial Interview,Panelist 20,2025-09-26,10.0,10.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 163,Software Engineer,Offer,HR Team,2025-10-04,,,Declined due to cultural misfit.,N/A,No
Candidate 164,Software Engineer,Technical Interview,Panelist 15,2025-11-19,9.0,3.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 164,Software Engineer,Managerial Interview,Panelist 24,2025-11-26,9.0,7.0,"Strong problem-solving, explained DP well.",Yes,No
Candidate 165,Software Engineer,Technical Interview,Panelist 22,2025-09-30,9.0,8.0,"Strong problem-solving, explained API design well.",Maybe,No
Candidate 165,Software Engineer,Managerial Interview,Panelist 17,2025-10-02,10.0,10.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 166,Software Engineer,Technical Interview,Panelist 8,2025-11-10,10.0,6.0,"Strong problem-solving, explained API design well.",Maybe,No
Candidate 166,Software Engineer,Managerial Interview,Panelist 4,2025-11-17,6.0,9.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 167,Software Engineer,Technical Interview,Panelist 22,2025-11-17,10.0,8.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 169,Software Engineer,Technical Interview,Panelist 13,2025-10-05,5.0,6.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 169,Software Engineer,Managerial Interview,Panelist 3,2025-10-11,5.0,6.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 170,Software Engineer,Technical Interview,Panelist 10,2025-09-27,6.0,4.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 170,Software Engineer,Managerial Interview,Panelist 2,2025-09-28,10.0,8.0,"Strong problem-solving, explained API design well.",No,No
Candidate 170,Software Engineer,Offer,HR Team,2025-10-10,,,Declined due to offer declined - better opportunity.,N/A,No
Candidate 171,Software Engineer,Technical Interview,Panelist 15,2025-10-05,10.0,7.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 171,Software Engineer,Managerial Interview,Panelist 12,2025-10-08,7.0,9.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 172,Software Engineer,Technical Interview,Panelist 21,2025-10-20,5.0,10.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 172,Software Engineer,Managerial Interview,Panelist 16,2025-10-23,7.0,8.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 173,Software Engineer,Technical Interview,Panelist 9,2025-09-16,7.0,3.0,Needs improvement in time complexity.,No,No
Candidate 173,Software Engineer,Managerial Interview,Panelist 24,2025-09-21,8.0,10.0,"Strong problem-solving, explained API design well.",No,No
Candidate 174,Software Engineer,Technical Interview,Panelist 24,2025-11-12,5.0,3.0,Struggled with edge cases in coding round.,Yes,No
Candidate 174,Software Engineer,Managerial Interview,Panelist 22,2025-11-13,7.0,10.0,Struggled with edge cases in coding round.,No,No
Candidate 175,Software Engineer,Technical Interview,Panelist 12,2025-10-15,6.0,5.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 175,Software Engineer,Managerial Interview,Panelist 12,2025-10-19,7.0,10.0,"Strong problem-solving, explained system design well.",Maybe,No
Candidate 176,Software Engineer,Technical Interview,Panelist 16,2025-09-23,5.0,6.0,Needs improvement in communication.,Yes,No
Candidate 176,Software Engineer,Managerial Interview,Panelist 21,2025-09-25,3.0,4.0,Needs improvement in communication.,No,No
Candidate 176,Software Engineer,Offer,HR Team,2025-09-30,,,Declined due to delays in process.,N/A,No
Candidate 177,Software Engineer,Technical Interview,Panelist 6,2025-11-13,3.0,3.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 178,Software Engineer,Technical Interview,Panelist 4,2025-09-24,10.0,10.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 179,Software Engineer,Technical Interview,Panelist 16,2025-11-03,5.0,9.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 179,Software Engineer,Managerial Interview,Panelist 8,2025-11-10,7.0,9.0,Struggled with edge cases in coding round.,No,No
Candidate 180,Software Engineer,Technical Interview,Panelist 14,2025-11-03,4.0,5.0,Needs improvement in code clarity.,No,No
Candidate 180,Software Engineer,Managerial Interview,Panelist 12,2025-11-05,4.0,5.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 181,Software Engineer,Technical Interview,Panelist 22,2025-10-04,5.0,3.0,"Strong problem-solving, explained API design well.",Yes,No
Candidate 181,Software Engineer,Managerial Interview,Panelist 3,2025-10-05,3.0,3.0,Struggled with edge cases in coding round.,No,No
Candidate 182,Software Engineer,Technical Interview,Panelist 20,2025-09-16,6.0,9.0,"Strong problem-solving, explained API design well.",No,No
Candidate 184,Software Engineer,Technical Interview,Panelist 19,2025-10-21,6.0,5.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 184,Software Engineer,Managerial Interview,Panelist 17,2025-10-22,9.0,4.0,Struggled with edge cases in coding round.,No,No
Candidate 185,Software Engineer,Technical Interview,Panelist 12,2025-10-29,5.0,5.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 185,Software Engineer,Managerial Interview,Panelist 3,2025-11-01,5.0,4.0,Needs improvement in code clarity.,Maybe,No
Candidate 186,Software Engineer,Technical Interview,Panelist 4,2025-10-05,9.0,5.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 186,Software Engineer,Managerial Interview,Panelist 16,2025-10-06,5.0,7.0,Struggled with edge cases in coding round.,Yes,No
Candidate 187,Software Engineer,Technical Interview,Panelist 15,2025-10-22,9.0,9.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 187,Software Engineer,Managerial Interview,Panelist 9,2025-10-29,10.0,10.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 187,Software Engineer,Offer,HR Team,2025-11-03,,,Declined due to delays in process.,N/A,No
Candidate 188,Software Engineer,Technical Interview,Panelist 18,2025-09-26,8.0,10.0,Needs improvement in time complexity.,No,No
Candidate 188,Software Engineer,Managerial Interview,Panelist 5,2025-09-30,10.0,9.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 189,Software Engineer,Technical Interview,Panelist 14,2025-10-19,9.0,10.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 189,Software Engineer,Managerial Interview,Panelist 10,2025-10-26,10.0,8.0,Struggled with edge cases in coding round.,Yes,No
Candidate 189,Software Engineer,Offer,HR Team,2025-11-07,,,Declined due to delays in process.,N/A,No
Candidate 190,Software Engineer,Technical Interview,Panelist 20,2025-09-16,9.0,8.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 190,Software Engineer,Managerial Interview,Panelist 1,2025-09-18,10.0,10.0,"Strong problem-solving, explained system design well.",Yes,No
Candidate 191,Software Engineer,Technical Interview,Panelist 8,2025-09-15,10.0,10.0,Needs improvement in communication.,Maybe,No
Candidate 192,Software Engineer,Technical Interview,Panelist 18,2025-11-09,10.0,10.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 192,Software Engineer,Managerial Interview,Panelist 12,2025-11-12,8.0,10.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 193,Software Engineer,Technical Interview,Panelist 8,2025-11-08,6.0,7.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 193,Software Engineer,Managerial Interview,Panelist 21,2025-11-14,4.0,5.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 197,Software Engineer,Technical Interview,Panelist 5,2025-11-17,10.0,10.0,Struggled with edge cases in coding round.,Yes,No
Candidate 197,Software Engineer,Managerial Interview,Panelist 13,2025-11-24,10.0,9.0,Struggled with edge cases in coding round.,No,No
Candidate 198,Software Engineer,Technical Interview,Panelist 18,2025-10-29,4.0,5.0,Needs improvement in code clarity.,No,No
Candidate 198,Software Engineer,Managerial Interview,Panelist 4,2025-10-31,6.0,8.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 199,Software Engineer,Technical Interview,Panelist 2,2025-09-30,7.0,9.0,"Strong problem-solving, explained API design well.",Yes,No
Candidate 199,Software Engineer,Managerial Interview,Panelist 21,2025-10-05,7.0,6.0,Needs improvement in time complexity.,Yes,No
Candidate 200,Software Engineer,Technical Interview,Panelist 9,2025-11-15,8.0,4.0,"Strong problem-solving, explained API design well.",Maybe,No
Candidate 200,Software Engineer,Managerial Interview,Panelist 18,2025-11-18,6.0,6.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 201,Software Engineer,Technical Interview,Panelist 10,2025-11-19,7.0,5.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 201,Software Engineer,Managerial Interview,Panelist 6,2025-11-21,9.0,7.0,"Strong problem-solving, explained system design well.",Yes,No
Candidate 202,Software Engineer,Technical Interview,Panelist 15,2025-09-17,9.0,8.0,Struggled with edge cases in coding round.,No,No
Candidate 203,Software Engineer,Technical Interview,Panelist 7,2025-09-15,3.0,7.0,Needs improvement in time complexity.,Maybe,No
Candidate 203,Software Engineer,Managerial Interview,Panelist 25,2025-09-16,9.0,5.0,Struggled with edge cases in coding round.,Yes,No
Candidate 204,Software Engineer,Technical Interview,Panelist 12,2025-09-27,3.0,7.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 205,Software Engineer,Technical Interview,Panelist 10,2025-09-11,8.0,9.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 205,Software Engineer,Managerial Interview,Panelist 5,2025-09-16,7.0,9.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 206,Software Engineer,Technical Interview,Panelist 19,2025-09-18,8.0,7.0,"Strong problem-solving, explained API design well.",Maybe,No
Candidate 206,Software Engineer,Managerial Interview,Panelist 2,2025-09-25,9.0,7.0,"Strong problem-solving, explained system design well.",Yes,No
Candidate 207,Software Engineer,Technical Interview,Panelist 25,2025-11-14,5.0,3.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 207,Software Engineer,Managerial Interview,Panelist 19,2025-11-18,4.0,5.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 209,Software Engineer,Technical Interview,Panelist 12,2025-10-24,10.0,5.0,Needs improvement in time complexity.,No,No
Candidate 209,Software Engineer,Managerial Interview,Panelist 22,2025-10-26,5.0,7.0,"Strong problem-solving, explained DP well.",Yes,No
Candidate 210,Software Engineer,Technical Interview,Panelist 25,2025-11-08,9.0,10.0,"Strong problem-solving, explained API design well.",No,No
Candidate 210,Software Engineer,Managerial Interview,Panelist 9,2025-11-09,10.0,10.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 210,Software Engineer,Offer,HR Team,2025-11-17,,,Declined due to delays in process.,N/A,No
Candidate 211,Software Engineer,Technical Interview,Panelist 20,2025-11-02,9.0,4.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 211,Software Engineer,Managerial Interview,Panelist 10,2025-11-07,5.0,4.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 211,Software Engineer,Offer,HR Team,2025-11-12,,,Declined due to delays in process.,N/A,No
Candidate 212,Software Engineer,Technical Interview,Panelist 17,2025-10-14,10.0,9.0,Needs improvement in time complexity.,No,No
Candidate 212,Software Engineer,Managerial Interview,Panelist 20,2025-10-17,8.0,10.0,Needs improvement in time complexity.,Maybe,No
Candidate 212,Software Engineer,Offer,HR Team,2025-10-29,,,Declined due to cultural misfit.,N/A,No
Candidate 213,Software Engineer,Technical Interview,Panelist 14,2025-09-22,8.0,4.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 214,Software Engineer,Technical Interview,Panelist 5,2025-10-05,7.0,9.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 214,Software Engineer,Managerial Interview,Panelist 6,2025-10-07,10.0,10.0,Struggled with edge cases in coding round.,Yes,No
Candidate 214,Software Engineer,Offer,HR Team,2025-10-18,,,Declined due to cultural misfit.,N/A,No
Candidate 215,Software Engineer,Technical Interview,Panelist 19,2025-09-18,8.0,7.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 215,Software Engineer,Managerial Interview,Panelist 8,2025-09-19,8.0,8.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 216,Software Engineer,Technical Interview,Panelist 21,2025-09-27,6.0,10.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 216,Software Engineer,Managerial Interview,Panelist 15,2025-09-30,10.0,10.0,Struggled with edge cases in coding round.,Yes,No
Candidate 217,Software Engineer,Technical Interview,Panelist 19,2025-11-13,10.0,10.0,Needs improvement in communication.,Maybe,No
Candidate 217,Software Engineer,Managerial Interview,Panelist 25,2025-11-19,7.0,10.0,Needs improvement in communication.,Yes,No
Candidate 217,Software Engineer,Offer,HR Team,2025-11-25,,,Declined due to cultural misfit.,N/A,No
Candidate 218,Software Engineer,Technical Interview,Panelist 9,2025-11-10,4.0,4.0,Needs improvement in communication.,Yes,No
Candidate 218,Software Engineer,Managerial Interview,Panelist 2,2025-11-12,4.0,3.0,"Strong problem-solving, explained system design well.",Yes,No
Candidate 220,Software Engineer,Technical Interview,Panelist 4,2025-10-28,8.0,7.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 220,Software Engineer,Managerial Interview,Panelist 19,2025-10-29,8.0,6.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 221,Software Engineer,Technical Interview,Panelist 4,2025-11-06,3.0,6.0,Needs improvement in time complexity.,Maybe,No
Candidate 221,Software Engineer,Managerial Interview,Panelist 12,2025-11-09,4.0,3.0,Needs improvement in time complexity.,Maybe,No
Candidate 222,Software Engineer,Technical Interview,Panelist 11,2025-10-29,10.0,7.0,Needs improvement in communication.,No,No
Candidate 222,Software Engineer,Managerial Interview,Panelist 18,2025-11-05,10.0,7.0,"Strong problem-solving, explained system design well.",Maybe,No
Candidate 223,Software Engineer,Technical Interview,Panelist 6,2025-09-13,10.0,6.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 223,Software Engineer,Managerial Interview,Panelist 8,2025-09-17,7.0,7.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 224,Software Engineer,Technical Interview,Panelist 5,2025-09-29,10.0,9.0,Needs improvement in time complexity.,Yes,No
Candidate 224,Software Engineer,Managerial Interview,Panelist 17,2025-10-05,10.0,10.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 225,Software Engineer,Technical Interview,Panelist 4,2025-10-15,10.0,10.0,Needs improvement in communication.,Maybe,No
Candidate 225,Software Engineer,Managerial Interview,Panelist 23,2025-10-17,9.0,10.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 226,Software Engineer,Technical Interview,Panelist 23,2025-09-23,5.0,8.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 226,Software Engineer,Managerial Interview,Panelist 19,2025-09-27,10.0,10.0,"Strong problem-solving, explained API design well.",No,No
Candidate 228,Software Engineer,Technical Interview,Panelist 13,2025-11-03,10.0,5.0,"Strong problem-solving, explained system design well.",No,No
Candidate 228,Software Engineer,Managerial Interview,Panelist 8,2025-11-07,7.0,7.0,"Strong problem-solving, explained system design well.",No,No
Candidate 229,Software Engineer,Technical Interview,Panelist 10,2025-11-07,5.0,7.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 229,Software Engineer,Managerial Interview,Panelist 3,2025-11-08,6.0,6.0,"Strong problem-solving, explained API design well.",Yes,No
Candidate 230,Software Engineer,Technical Interview,Panelist 19,2025-10-16,10.0,10.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 230,Software Engineer,Managerial Interview,Panelist 1,2025-10-17,8.0,6.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 233,Software Engineer,Technical Interview,Panelist 20,2025-09-26,9.0,10.0,Struggled with edge cases in coding round.,No,No
Candidate 233,Software Engineer,Managerial Interview,Panelist 19,2025-09-27,10.0,6.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 234,Software Engineer,Technical Interview,Panelist 17,2025-09-22,10.0,9.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 234,Software Engineer,Managerial Interview,Panelist 22,2025-09-23,4.0,4.0,"Strong problem-solving, explained system design well.",No,No
Candidate 235,Software Engineer,Technical Interview,Panelist 24,2025-10-24,4.0,4.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 236,Software Engineer,Technical Interview,Panelist 20,2025-10-10,9.0,10.0,"Strong problem-solving, explained DP well.",Maybe,No
Candidate 236,Software Engineer,Managerial Interview,Panelist 22,2025-10-12,6.0,10.0,Needs improvement in time complexity.,No,No
Candidate 238,Software Engineer,Technical Interview,Panelist 18,2025-09-26,4.0,7.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 238,Software Engineer,Managerial Interview,Panelist 15,2025-09-29,3.0,5.0,"Strong problem-solving, explained API design well.",Yes,No
Candidate 239,Software Engineer,Technical Interview,Panelist 17,2025-10-25,8.0,8.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 239,Software Engineer,Managerial Interview,Panelist 14,2025-10-26,10.0,10.0,Needs improvement in code clarity.,Maybe,No
Candidate 240,Software Engineer,Technical Interview,Panelist 6,2025-09-25,9.0,5.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 240,Software Engineer,Managerial Interview,Panelist 25,2025-09-28,3.0,9.0,Needs improvement in code clarity.,Yes,No
Candidate 241,Software Engineer,Technical Interview,Panelist 4,2025-09-29,10.0,10.0,"Strong problem-solving, explained DP well.",No,No
Candidate 242,Software Engineer,Technical Interview,Panelist 13,2025-11-09,9.0,10.0,"Strong problem-solving, explained system design well.",Maybe,No
Candidate 242,Software Engineer,Managerial Interview,Panelist 14,2025-11-13,7.0,10.0,Needs improvement in time complexity.,Yes,No
Candidate 243,Software Engineer,Technical Interview,Panelist 10,2025-09-22,10.0,9.0,Needs improvement in code clarity.,No,No
Candidate 243,Software Engineer,Managerial Interview,Panelist 23,2025-09-28,9.0,9.0,Needs improvement in code clarity.,Yes,No
Candidate 244,Software Engineer,Technical Interview,Panelist 15,2025-10-30,8.0,7.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 247,Software Engineer,Technical Interview,Panelist 7,2025-09-14,3.0,3.0,Struggled with edge cases in coding round.,No,No
Candidate 247,Software Engineer,Managerial Interview,Panelist 5,2025-09-19,5.0,3.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 248,Software Engineer,Technical Interview,Panelist 21,2025-10-30,7.0,7.0,"Strong problem-solving, explained DP well.",Yes,No
Candidate 248,Software Engineer,Managerial Interview,Panelist 21,2025-11-05,8.0,9.0,Needs improvement in code clarity.,Yes,No
Candidate 249,Software Engineer,Technical Interview,Panelist 4,2025-09-17,3.0,10.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 249,Software Engineer,Managerial Interview,Panelist 7,2025-09-23,5.0,6.0,Struggled with edge cases in coding round.,No,No
Candidate 250,Software Engineer,Technical Interview,Panelist 17,2025-09-15,10.0,10.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 250,Software Engineer,Managerial Interview,Panelist 11,2025-09-21,10.0,10.0,Needs improvement in communication.,Maybe,No
Candidate 250,Software Engineer,Offer,HR Team,2025-09-24,,,Declined due to offer declined - better opportunity.,N/A,No
Candidate 251,Data Scientist,Technical Interview,Panelist 19,2025-11-07,9.0,8.0,Struggled with edge cases in coding round.,Yes,Yes
Candidate 252,Data Scientist,Technical Interview,Panelist 7,2025-09-28,4.0,5.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 255,Data Scientist,Technical Interview,Panelist 16,2025-10-27,6.0,6.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 255,Data Scientist,Managerial Interview,Panelist 23,2025-10-29,5.0,3.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 256,Data Scientist,Technical Interview,Panelist 2,2025-11-21,5.0,9.0,"Strong problem-solving, explained system design well.",No,No
Candidate 256,Data Scientist,Managerial Interview,Panelist 12,2025-11-24,10.0,10.0,Needs improvement in time complexity.,Yes,No
Candidate 257,Data Scientist,Technical Interview,Panelist 17,2025-11-10,9.0,6.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 257,Data Scientist,Managerial Interview,Panelist 23,2025-11-16,3.0,6.0,Struggled with edge cases in coding round.,Yes,No
Candidate 260,Data Scientist,Technical Interview,Panelist 17,2025-11-05,8.0,5.0,Needs improvement in time complexity.,No,No
Candidate 260,Data Scientist,Managerial Interview,Panelist 12,2025-11-09,10.0,6.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 261,Data Scientist,Technical Interview,Panelist 6,2025-09-26,8.0,8.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 261,Data Scientist,Managerial Interview,Panelist 18,2025-09-28,10.0,6.0,Needs improvement in code clarity.,No,No
Candidate 262,Data Scientist,Technical Interview,Panelist 22,2025-10-21,10.0,10.0,"Strong problem-solving, explained system design well.",Maybe,No
Candidate 265,Data Scientist,Technical Interview,Panelist 12,2025-11-12,6.0,4.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 266,Data Scientist,Technical Interview,Panelist 19,2025-11-07,9.0,9.0,Excellent domain knowledge in ML pipelines.,No,Yes
Candidate 266,Data Scientist,Managerial Interview,Panelist 13,2025-11-14,10.0,10.0,Needs improvement in code clarity.,Maybe,No
Candidate 267,Data Scientist,Technical Interview,Panelist 21,2025-11-08,6.0,4.0,Needs improvement in code clarity.,No,No
Candidate 267,Data Scientist,Managerial Interview,Panelist 4,2025-11-09,8.0,8.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 267,Data Scientist,Offer,HR Team,2025-11-18,,,Declined due to delays in process.,N/A,No
Candidate 269,Data Scientist,Technical Interview,Panelist 3,2025-10-26,10.0,6.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 269,Data Scientist,Managerial Interview,Panelist 22,2025-11-02,9.0,10.0,"Great cultural fit, asked thoughtful questions.",Yes,Yes
Candidate 270,Data Scientist,Technical Interview,Panelist 20,2025-09-28,6.0,3.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 271,Data Scientist,Technical Interview,Panelist 17,2025-11-08,4.0,9.0,"Strong problem-solving, explained API design well.",Maybe,No
Candidate 272,Data Scientist,Technical Interview,Panelist 3,2025-10-12,7.0,5.0,Needs improvement in communication.,Yes,No
Candidate 272,Data Scientist,Managerial Interview,Panelist 2,2025-10-17,3.0,6.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 273,Data Scientist,Technical Interview,Panelist 12,2025-10-24,5.0,7.0,Needs improvement in time complexity.,Maybe,No
Candidate 274,Data Scientist,Technical Interview,Panelist 7,2025-10-03,10.0,7.0,Excellent domain knowledge in ML pipelines.,Yes,No
