CandidateName,AppliedRole,InterviewStage,Status,Feedback,Interviewer,RejectionReason,InterviewDate,ApplicationDate,DaysInPipeline,Source,SalaryExpectation,ResumeScore
Candidate 184,Software Engineer,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 17,,2025-11-04,2025-10-15,20,Other,2393253,5
Candidate 185,Software Engineer,Offer,Accepted,Needs improvement in code clarity.,Panelist 3,,2025-11-13,2025-10-19,25,Other,1314717,5
Candidate 186,Software Engineer,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 16,,2025-10-11,2025-09-27,14,Naukri,2313190,6
Candidate 187,Software Engineer,Offer,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 9,Delays in process,2025-11-03,2025-10-15,19,Internal,3206219,10
Candidate 188,Software Engineer,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 5,,2025-10-07,2025-09-17,20,Internal,1954510,10
Candidate 189,Software Engineer,Offer,Rejected,Struggled with edge cases in coding round.,Panelist 10,Delays in process,2025-11-07,2025-10-13,25,Referral,3198751,10
Candidate 190,Software Engineer,Technical Interview,Rejected,"Strong problem-solving, explained system design well.",Panelist 1,Poor skill match,2025-09-18,2025-09-10,8,Internal,2897739,10
Candidate 191,Software Engineer,Online Assessment,Rejected,Needs improvement in communication.,Panelist 8,Role withdrawn,2025-09-15,2025-09-11,4,Internal,1425760,10
Candidate 192,Software Engineer,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 12,,2025-11-20,2025-10-31,20,Referral,2563993,10
Candidate 193,Software Engineer,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 21,,2025-11-22,2025-11-02,20,Referral,3167958,7
Candidate 194,Software Engineer,Applied,Rejected,,,Insufficient experience,2025-10-23,2025-10-23,0,Other,2327521,8
Candidate 195,Software Engineer,Screening,Rejected,,,Poor skill match,2025-10-08,2025-10-05,3,Referral,1662868,8
Candidate 196,Software Engineer,Screening,Rejected,,,Poor skill match,2025-10-13,2025-10-07,6,Naukri,1628966,4
Candidate 197,Software Engineer,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 13,,2025-12-01,2025-11-03,28,Internal,2110952,9
Candidate 198,Software Engineer,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 4,,2025-11-07,2025-10-20,18,Naukri,3183174,6
Candidate 199,Software Engineer,Managerial Interview,Rejected,Needs improvement in time complexity.,Panelist 21,Role withdrawn,2025-10-07,2025-09-21,16,Other,1850083,6
Candidate 200,Software Engineer,Technical Interview,Rejected,Struggled with edge cases in coding round.,Panelist 18,Code test failed,2025-11-18,2025-11-09,9,Internal,2436122,6
Candidate 201,Software Engineer,Offer,Accepted,"Strong problem-solving, explained system design well.",Panelist 6,,2025-12-02,2025-11-08,24,Other,2201543,6
Candidate 202,Software Engineer,Online Assessment,Rejected,Struggled with edge cases in coding round.,Panelist 15,Code test failed,2025-09-17,2025-09-10,7,Referral,2125778,9
Candidate 203,Software Engineer,Technical Interview,Rejected,Struggled with edge cases in coding round.,Panelist 25,Cultural misfit,2025-09-16,2025-09-10,6,Other,1370511,6
Candidate 204,Software Engineer,Online Assessment,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 12,Code test failed,2025-09-27,2025-09-21,6,Other,2615631,5
Candidate 205,Software Engineer,Managerial Interview,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 5,Cultural misfit,2025-09-19,2025-09-05,14,Referral,3097517,8
Candidate 206,Software Engineer,Offer,Accepted,"Strong problem-solving, explained system design well.",Panelist 2,,2025-09-27,2025-09-10,17,Other,2111998,8
Candidate 207,Software Engineer,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 19,,2025-11-29,2025-11-04,25,LinkedIn,2539310,5
Candidate 208,Software Engineer,Applied,Rejected,,,Cultural misfit,2025-11-07,2025-11-07,0,Other,2022500,4
Candidate 209,Software Engineer,Offer,Accepted,"Strong problem-solving, explained DP well.",Panelist 22,,2025-11-05,2025-10-17,19,Referral,1575787,10
Candidate 210,Software Engineer,Offer,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 9,Delays in process,2025-11-17,2025-10-28,20,LinkedIn,2479757,9
Candidate 211,Software Engineer,Offer,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 10,Delays in process,2025-11-12,2025-10-20,23,LinkedIn,1280020,5
Candidate 212,Software Engineer,Offer,Rejected,Needs improvement in time complexity.,Panelist 20,Cultural misfit,2025-10-29,2025-10-06,23,Internal,1323588,10
Candidate 213,Software Engineer,Online Assessment,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 14,Insufficient experience,2025-09-22,2025-09-16,6,Naukri,1862901,5
Candidate 214,Software Engineer,Offer,Rejected,Struggled with edge cases in coding round.,Panelist 6,Cultural misfit,2025-10-18,2025-09-30,18,LinkedIn,2319302,10
Candidate 215,Software Engineer,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 8,,2025-09-23,2025-09-06,17,Referral,3119082,10
Candidate 216,Software Engineer,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 15,,2025-10-07,2025-09-22,15,Referral,3135030,9
Candidate 217,Software Engineer,Offer,Rejected,Needs improvement in communication.,Panelist 25,Cultural misfit,2025-11-25,2025-11-05,20,Internal,2722294,10
Candidate 218,Software Engineer,Offer,Accepted,"Strong problem-solving, explained system design well.",Panelist 2,,2025-11-20,2025-10-31,20,Naukri,2109634,6
Candidate 219,Software Engineer,Applied,Rejected,,,Code test failed,2025-10-17,2025-10-17,0,Other,1944150,10
Candidate 220,Software Engineer,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 19,,2025-11-06,2025-10-19,18,Referral,2745892,9
Candidate 221,Software Engineer,Offer,Accepted,Needs improvement in time complexity.,Panelist 12,,2025-11-19,2025-11-03,16,Naukri,3282039,4
Candidate 222,Software Engineer,Managerial Interview,Rejected,"Strong problem-solving, explained system design well.",Panelist 18,No show/interview abandoned,2025-11-08,2025-10-21,18,Referral,2631774,8
Candidate 223,Software Engineer,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 8,,2025-09-22,2025-09-04,18,Referral,2683087,10
Candidate 224,Software Engineer,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 17,,2025-10-09,2025-09-20,19,Internal,3297379,10
Candidate 225,Software Engineer,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 23,,2025-10-24,2025-10-06,18,Referral,2080156,9
Candidate 226,Software Engineer,Offer,Accepted,"Strong problem-solving, explained API design well.",Panelist 19,,2025-10-06,2025-09-12,24,Internal,1425653,7
Candidate 227,Software Engineer,Screening,Rejected,,,Poor skill match,2025-10-17,2025-10-13,4,Other,2282351,8
Candidate 228,Software Engineer,Offer,Accepted,"Strong problem-solving, explained system design well.",Panelist 8,,2025-11-18,2025-10-30,19,Referral,3207612,8
Candidate 229,Software Engineer,Offer,Accepted,"Strong problem-solving, explained API design well.",Panelist 3,,2025-11-13,2025-11-02,11,Naukri,1925973,6
Candidate 230,Software Engineer,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 1,,2025-10-25,2025-10-09,16,Referral,2457181,10
Candidate 231,Software Engineer,Screening,Rejected,,,Role withdrawn,2025-09-28,2025-09-25,3,Other,2085904,5
Candidate 232,Software Engineer,Applied,Rejected,,,Role withdrawn,2025-09-02,2025-09-02,0,Naukri,1763200,5
Candidate 233,Software Engineer,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 19,,2025-10-04,2025-09-18,16,Internal,3031799,10
Candidate 234,Software Engineer,Technical Interview,Rejected,"Strong problem-solving, explained system design well.",Panelist 22,Cultural misfit,2025-09-23,2025-09-11,12,Other,3219695,7
Candidate 235,Software Engineer,Online Assessment,Rejected,Struggled with edge cases in coding round.,Panelist 24,Code test failed,2025-10-24,2025-10-16,8,Other,3168103,5
Candidate 236,Software Engineer,Managerial Interview,Rejected,Needs improvement in time complexity.,Panelist 22,Insufficient experience,2025-10-13,2025-10-07,6,Other,1314496,10
Candidate 237,Software Engineer,Screening,Rejected,,,Code test failed,2025-10-27,2025-10-23,4,Other,1846553,8
Candidate 238,Software Engineer,Offer,Accepted,"Strong problem-solving, explained API design well.",Panelist 15,,2025-10-13,2025-09-15,28,LinkedIn,2308955,4
Candidate 239,Software Engineer,Managerial Interview,Rejected,Needs improvement in code clarity.,Panelist 14,No show/interview abandoned,2025-10-27,2025-10-21,6,Referral,2320247,10
Candidate 240,Software Engineer,Technical Interview,Rejected,Needs improvement in code clarity.,Panelist 25,Cultural misfit,2025-09-28,2025-09-16,12,Naukri,1710824,7
Candidate 241,Software Engineer,Online Assessment,Rejected,"Strong problem-solving, explained DP well.",Panelist 4,Poor skill match,2025-09-29,2025-09-23,6,Referral,1451904,9
Candidate 242,Software Engineer,Offer,Accepted,Needs improvement in time complexity.,Panelist 14,,2025-11-23,2025-10-28,26,LinkedIn,2251077,9
Candidate 243,Software Engineer,Technical Interview,Rejected,Needs improvement in code clarity.,Panelist 23,No show/interview abandoned,2025-09-28,2025-09-12,16,Referral,2880300,10
Candidate 244,Software Engineer,Online Assessment,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 15,Role withdrawn,2025-10-30,2025-10-20,10,Naukri,3251990,7
Candidate 245,Software Engineer,Screening,Rejected,,,Role withdrawn,2025-11-09,2025-11-08,1,Other,3122544,10
Candidate 246,Software Engineer,Screening,Rejected,,,Code test failed,2025-09-07,2025-09-06,1,LinkedIn,3176438,5
Candidate 247,Software Engineer,Technical Interview,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 5,Insufficient experience,2025-09-19,2025-09-09,10,LinkedIn,3113376,4
Candidate 248,Software Engineer,Offer,Accepted,Needs improvement in code clarity.,Panelist 21,,2025-11-14,2025-10-18,27,Internal,1904856,10
Candidate 249,Software Engineer,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 7,,2025-09-26,2025-09-12,14,Other,1954976,6
Candidate 250,Software Engineer,Offer,Rejected,Needs improvement in communication.,Panelist 11,Offer declined - better opportunity,2025-09-24,2025-09-06,18,Referral,3100638,10
Candidate 251,Data Scientist,Online Assessment,Rejected,Struggled with edge cases in coding round.,Panelist 19,Code test failed,2025-11-07,2025-10-29,9,Naukri,3108370,7
Candidate 252,Data Scientist,Online Assessment,Rejected,Struggled with edge cases in coding round.,Panelist 7,Cultural misfit,2025-09-28,2025-09-22,6,Other,1857617,7
Candidate 253,Data Scientist,Screening,Rejected,,,Cultural misfit,2025-09-24,2025-09-20,4,Other,2132840,9
Candidate 254,Data Scientist,Screening,Rejected,,,Cultural misfit,2025-11-01,2025-10-25,7,Other,1341014,5
Candidate 255,Data Scientist,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 23,,2025-11-04,2025-10-23,12,Naukri,1548511,6
Candidate 256,Data Scientist,Offer,Accepted,Needs improvement in time complexity.,Panelist 12,,2025-12-02,2025-11-09,23,Internal,2331578,10
Candidate 257,Data Scientist,Managerial Interview,Rejected,Struggled with edge cases in coding round.,Panelist 23,Insufficient experience,2025-11-19,2025-11-04,15,Naukri,2145552,5
Candidate 258,Data Scientist,Screening,Rejected,,,Cultural misfit,2025-09-24,2025-09-19,5,Referral,1669865,5
Candidate 259,Data Scientist,Applied,Rejected,,,Insufficient experience,2025-09-03,2025-09-03,0,Other,1753762,4
Candidate 260,Data Scientist,Technical Interview,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 12,Insufficient experience,2025-11-09,2025-10-23,17,Other,2608771,7
Candidate 261,Data Scientist,Technical Interview,Rejected,Needs improvement in code clarity.,Panelist 18,Role withdrawn,2025-09-28,2025-09-20,8,Other,2396410,7
Candidate 262,Data Scientist,Online Assessment,Rejected,"Strong problem-solving, explained system design well.",Panelist 22,Role withdrawn,2025-10-21,2025-10-13,8,Other,3328227,10
Candidate 263,Data Scientist,Applied,Rejected,,,Poor skill match,2025-09-29,2025-09-29,0,Other,1690213,6
Candidate 264,Data Scientist,Screening,Rejected,,,Cultural misfit,2025-11-10,2025-11-07,3,Other,2018517,8
Candidate 265,Data Scientist,Online Assessment,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 12,Role withdrawn,2025-11-12,2025-11-05,7,LinkedIn,3346592,5
Candidate 266,Data Scientist,Offer,Accepted,Needs improvement in code clarity.,Panelist 13,,2025-11-19,2025-10-27,23,Internal,2943193,10
Candidate 267,Data Scientist,Offer,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 4,Delays in process,2025-11-18,2025-10-30,19,LinkedIn,2466650,7
Candidate 268,Data Scientist,Applied,Rejected,,,Code test failed,2025-10-04,2025-10-04,0,Other,1273589,4
Candidate 269,Data Scientist,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 22,,2025-11-07,2025-10-17,21,Internal,1768317,9
Candidate 270,Data Scientist,Online Assessment,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 20,Cultural misfit,2025-09-28,2025-09-21,7,Internal,2627376,8
Candidate 271,Data Scientist,Online Assessment,Rejected,"Strong problem-solving, explained API design well.",Panelist 17,Role withdrawn,2025-11-08,2025-11-01,7,LinkedIn,1688911,8
Candidate 272,Data Scientist,Technical Interview,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 2,Poor skill match,2025-10-17,2025-10-10,7,Naukri,2150322,5
Candidate 273,Data Scientist,Online Assessment,Rejected,Needs improvement in time complexity.,Panelist 12,Poor skill match,2025-10-24,2025-10-15,9,Other,2061515,5
Candidate 274,Data Scientist,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 12,,2025-10-16,2025-09-25,21,Other,2110155,8
Candidate 275,Data Scientist,Offer,Accepted,"Strong problem-solving, explained system design well.",Panelist 22,,2025-11-02,2025-10-20,13,Referral,1370324,10
Candidate 276,Data Scientist,Offer,Accepted,"Strong problem-solving, explained system design well.",Panelist 16,,2025-10-14,2025-09-26,18,Naukri,2620324,7
Candidate 277,Data Scientist,Managerial Interview,Rejected,"Strong problem-solving, explained DP well.",Panelist 18,No show/interview abandoned,2025-10-15,2025-09-20,25,LinkedIn,1951181,4
Candidate 278,Data Scientist,Technical Interview,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 9,Poor skill match,2025-11-16,2025-11-02,14,Referral,1888470,8
Candidate 279,Data Scientist,Offer,Accepted,"Strong problem-solving, explained API design well.",Panelist 10,,2025-09-29,2025-09-04,25,Naukri,2736835,5
Candidate 280,Data Scientist,Screening,Rejected,,,Role withdrawn,2025-10-20,2025-10-19,1,LinkedIn,2527557,7
Candidate 281,Data Scientist,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 20,,2025-11-08,2025-10-14,25,Naukri,2609149,3
Candidate 282,Data Scientist,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 24,,2025-10-26,2025-10-09,17,Referral,3316611,9
Candidate 283,Data Scientist,Technical Interview,Rejected,Needs improvement in communication.,Panelist 16,Code test failed,2025-09-19,2025-09-09,10,Referral,3026152,6
Candidate 284,Data Scientist,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 8,,2025-09-17,2025-09-06,11,Other,1938135,6
Candidate 285,Data Scientist,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 5,,2025-11-05,2025-10-25,11,Other,2835571,8
Candidate 286,Data Scientist,Offer,Accepted,"Strong problem-solving, explained API design well.",Panelist 15,,2025-11-08,2025-10-17,22,Internal,2497166,10
Candidate 287,Data Scientist,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 10,,2025-12-01,2025-11-04,27,Internal,1621089,10
Candidate 288,Data Scientist,Offer,Accepted,Needs improvement in code clarity.,Panelist 21,,2025-11-21,2025-11-01,20,Referral,3093685,10
Candidate 289,Data Scientist,Offer,Rejected,Struggled with edge cases in coding round.,Panelist 7,Delays in process,2025-11-25,2025-11-07,18,Referral,1913547,10
Candidate 290,Data Scientist,Online Assessment,Rejected,"Strong problem-solving, explained API design well.",Panelist 23,Insufficient experience,2025-09-16,2025-09-11,5,Other,3121679,6
Candidate 291,Data Scientist,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 5,,2025-09-27,2025-09-06,21,Internal,2686048,10
Candidate 292,Data Scientist,Online Assessment,Rejected,Struggled with edge cases in coding round.,Panelist 11,Insufficient experience,2025-10-09,2025-10-04,5,Internal,2386675,10
Candidate 293,Data Scientist,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 6,,2025-11-13,2025-10-26,18,LinkedIn,3172361,6
Candidate 294,Data Scientist,Offer,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 1,Delays in process,2025-11-03,2025-10-13,21,Internal,1595544,6
Candidate 295,Data Scientist,Offer,Accepted,"Strong problem-solving, explained system design well.",Panelist 10,,2025-11-05,2025-10-19,17,Referral,1432930,9
Candidate 296,Data Scientist,Managerial Interview,Rejected,Needs improvement in code clarity.,Panelist 16,Poor skill match,2025-10-13,2025-09-24,19,Internal,2744493,8
Candidate 297,Data Scientist,Screening,Rejected,,,Role withdrawn,2025-10-10,2025-10-03,7,Other,2982216,5
Candidate 298,Data Scientist,Applied,Rejected,,,Cultural misfit,2025-09-24,2025-09-24,0,Internal,1953096,10
Candidate 299,Data Scientist,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 6,,2025-11-17,2025-10-28,20,Referral,2516786,8
Candidate 300,Data Scientist,Offer,Accepted,"Strong problem-solving, explained system design well.",Panelist 10,,2025-10-13,2025-09-17,26,Referral,1567568,8
Candidate 301,Data Scientist,Applied,Rejected,,,Role withdrawn,2025-10-21,2025-10-21,0,Naukri,2044474,5
Candidate 302,Data Scientist,Screening,Rejected,,,Cultural misfit,2025-11-08,2025-11-03,5,Internal,2943513,10
Candidate 303,Data Scientist,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 14,,2025-11-23,2025-11-02,21,Internal,3353169,7
Candidate 304,Data Scientist,Online Assessment,Rejected,Needs improvement in time complexity.,Panelist 12,Cultural misfit,2025-10-18,2025-10-08,10,Internal,1750118,10
Candidate 305,Data Scientist,Online Assessment,Rejected,Needs improvement in communication.,Panelist 1,Cultural misfit,2025-09-18,2025-09-13,5,Naukri,1926835,7
Candidate 306,Data Scientist,Online Assessment,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 18,Cultural misfit,2025-09-26,2025-09-16,10,LinkedIn,2150807,8
Candidate 307,Data Scientist,Applied,Rejected,,,Poor skill match,2025-09-14,2025-09-14,0,Internal,1665277,10
Candidate 308,Data Scientist,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 25,,2025-10-20,2025-09-27,23,Naukri,1695176,6
Candidate 309,Data Scientist,Offer,Accepted,Needs improvement in time complexity.,Panelist 6,,2025-11-20,2025-10-25,26,Other,2968831,7
Candidate 310,Data Scientist,Applied,Rejected,,,Code test failed,2025-10-11,2025-10-11,0,Other,2476423,7
Candidate 311,Data Scientist,Managerial Interview,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 5,No show/interview abandoned,2025-10-21,2025-09-27,24,Other,1815983,6
Candidate 312,Data Scientist,Screening,Rejected,,,Poor skill match,2025-10-05,2025-10-01,4,Other,2285025,6
Candidate 313,Data Scientist,Offer,Accepted,Needs improvement in time complexity.,Panelist 23,,2025-09-30,2025-09-07,23,Referral,2289497,8
Candidate 314,Data Scientist,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 16,,2025-10-10,2025-09-12,28,Internal,1543711,9
Candidate 315,Data Scientist,Online Assessment,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 10,Insufficient experience,2025-10-30,2025-10-18,12,Internal,1336765,9
Candidate 316,Data Scientist,Offer,Accepted,Needs improvement in communication.,Panelist 13,,2025-09-26,2025-09-07,19,Naukri,2968976,7
Candidate 317,Data Scientist,Technical Interview,Rejected,Needs improvement in time complexity.,Panelist 20,Role withdrawn,2025-10-27,2025-10-14,13,Other,2918105,3
Candidate 318,Data Scientist,Online Assessment,Rejected,"Strong problem-solving, explained system design well.",Panelist 3,Cultural misfit,2025-09-14,2025-09-03,11,Other,1953898,6
Candidate 319,Data Scientist,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 23,,2025-10-29,2025-10-19,10,Naukri,2940369,9
Candidate 320,Data Scientist,Offer,Accepted,"Strong problem-solving, explained system design well.",Panelist 21,,2025-11-20,2025-11-04,16,Internal,3333312,10
Candidate 321,Data Scientist,Offer,Accepted,"Strong problem-solving, explained DP well.",Panelist 24,,2025-10-27,2025-10-08,19,Internal,3094743,10
Candidate 322,Data Scientist,Online Assessment,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 11,Insufficient experience,2025-11-05,2025-10-28,8,Referral,2296225,9
Candidate 323,Data Scientist,Offer,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 1,Compensation mismatch,2025-10-01,2025-09-10,21,Internal,3250916,10
Candidate 324,Data Scientist,Offer,Accepted,Needs improvement in time complexity.,Panelist 19,,2025-10-22,2025-09-27,25,Referral,3267111,10
Candidate 325,Data Scientist,Technical Interview,Rejected,"Strong problem-solving, explained system design well.",Panelist 2,No show/interview abandoned,2025-09-13,2025-09-01,12,Other,2260827,5
Candidate 326,Data Scientist,Technical Interview,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 2,Cultural misfit,2025-11-05,2025-10-25,11,LinkedIn,2146352,9
Candidate 327,Data Scientist,Screening,Rejected,,,Cultural misfit,2025-09-11,2025-09-05,6,Other,1723559,7
Candidate 328,Data Scientist,Offer,Rejected,Struggled with edge cases in coding round.,Panelist 20,Offer declined - better opportunity,2025-11-14,2025-10-26,19,LinkedIn,2464461,7
Candidate 329,Data Scientist,Technical Interview,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 16,Insufficient experience,2025-10-29,2025-10-24,5,Other,1728405,5
Candidate 330,Data Scientist,Offer,Rejected,Needs improvement in code clarity.,Panelist 14,Delays in process,2025-11-16,2025-10-25,22,Other,1429039,8
Candidate 331,Data Scientist,Offer,Accepted,Needs improvement in communication.,Panelist 24,,2025-09-14,2025-09-01,13,Internal,2061159,6
Candidate 332,Data Scientist,Online Assessment,Rejected,Needs improvement in communication.,Panelist 20,Cultural misfit,2025-10-09,2025-09-27,12,LinkedIn,2619282,10
Candidate 333,Data Scientist,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 16,,2025-10-23,2025-10-02,21,Referral,2533585,5
Candidate 334,Data Scientist,Screening,Rejected,,,Insufficient experience,2025-11-07,2025-10-31,7,Internal,3275308,7
Candidate 335,Data Scientist,Technical Interview,Rejected,Struggled with edge cases in coding round.,Panelist 11,Cultural misfit,2025-10-22,2025-10-10,12,Naukri,3096161,8
Candidate 336,Data Scientist,Online Assessment,Rejected,"Strong problem-solving, explained DP well.",Panelist 9,Code test failed,2025-09-18,2025-09-10,8,Naukri,2314111,8
Candidate 337,Data Scientist,Offer,Accepted,Needs improvement in code clarity.,Panelist 21,,2025-10-30,2025-10-06,24,Referral,2469681,9
Candidate 338,Data Scientist,Online Assessment,Rejected,Needs improvement in time complexity.,Panelist 15,Role withdrawn,2025-09-22,2025-09-11,11,Internal,2628829,10
Candidate 339,Data Scientist,Screening,Rejected,,,Poor skill match,2025-10-25,2025-10-22,3,Referral,2625317,10
Candidate 340,Data Scientist,Technical Interview,Rejected,"Strong problem-solving, explained API design well.",Panelist 10,Insufficient experience,2025-10-28,2025-10-13,15,Naukri,1844627,9
Candidate 341,Data Scientist,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 7,,2025-12-02,2025-11-07,25,LinkedIn,2818557,6
Candidate 342,Data Scientist,Offer,Accepted,Needs improvement in code clarity.,Panelist 23,,2025-11-25,2025-10-28,28,LinkedIn,1798493,7
Candidate 343,Data Scientist,Offer,Accepted,"Strong problem-solving, explained DP well.",Panelist 11,,2025-11-06,2025-10-06,31,Internal,1383142,10
Candidate 344,Data Scientist,Technical Interview,Rejected,"Strong problem-solving, explained DP well.",Panelist 6,Role withdrawn,2025-09-13,2025-09-05,8,Naukri,2863772,7
Candidate 345,Data Scientist,Technical Interview,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 1,Poor skill match,2025-10-15,2025-09-28,17,LinkedIn,2346103,8
Candidate 346,Data Scientist,Applied,Rejected,,,Poor skill match,2025-09-25,2025-09-25,0,LinkedIn,2613969,7
Candidate 347,Data Scientist,Online Assessment,Rejected,"Strong problem-solving, explained system design well.",Panelist 4,Insufficient experience,2025-10-21,2025-10-12,9,Naukri,1900646,9
Candidate 348,Data Scientist,Screening,Rejected,,,Insufficient experience,2025-09-14,2025-09-09,5,Internal,2123150,10
Candidate 349,Data Scientist,Offer,Accepted,"Strong problem-solving, explained DP well.",Panelist 11,,2025-10-08,2025-09-14,24,Internal,2464726,10
Candidate 350,Data Scientist,Offer,Rejected,Needs improvement in code clarity.,Panelist 24,Compensation mismatch,2025-09-17,2025-09-03,14,LinkedIn,2175619,6
Candidate 351,Data Scientist,Online Assessment,Rejected,"Strong problem-solving, explained DP well.",Panelist 20,Insufficient experience,2025-09-11,2025-09-07,4,Naukri,2589448,6
Candidate 352,Data Scientist,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 10,,2025-10-16,2025-09-27,19,LinkedIn,1793628,5
Candidate 353,Data Scientist,Offer,Rejected,Needs improvement in communication.,Panelist 16,Delays in process,2025-09-24,2025-09-03,21,Internal,1853801,10
Candidate 354,Data Scientist,Offer,Accepted,Needs improvement in time complexity.,Panelist 23,,2025-10-27,2025-10-10,17,Internal,3253326,10
Candidate 355,Data Scientist,Screening,Rejected,,,Poor skill match,2025-09-25,2025-09-19,6,Naukri,2296100,3
Candidate 356,Data Scientist,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 3,,2025-10-10,2025-09-11,29,Internal,2867935,7
Candidate 357,Data Scientist,Online Assessment,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 7,Insufficient experience,2025-10-28,2025-10-24,4,LinkedIn,1492936,7
Candidate 358,Data Scientist,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 1,,2025-11-05,2025-10-23,13,Naukri,2287800,7
Candidate 359,Data Scientist,Offer,Accepted,Needs improvement in code clarity.,Panelist 5,,2025-11-07,2025-10-14,24,Internal,3184877,10
Candidate 360,Data Scientist,Offer,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 24,Cultural misfit,2025-11-02,2025-10-17,16,Referral,1269752,10
Candidate 361,Data Scientist,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 4,,2025-11-30,2025-11-09,21,Naukri,3071862,9
Candidate 362,Data Scientist,Online Assessment,Rejected,Excellent domain knowledge in ML pipelines.,Panelist 4,Code test failed,2025-10-29,2025-10-19,10,Referral,2781295,6
Candidate 363,Data Scientist,Offer,Rejected,Struggled with edge cases in coding round.,Panelist 15,Delays in process,2025-09-20,2025-09-01,19,Naukri,2514378,9
Candidate 364,Data Scientist,Managerial Interview,Rejected,Struggled with edge cases in coding round.,Panelist 2,Cultural misfit,2025-10-08,2025-09-16,22,Referral,3307126,10
Candidate 365,Data Scientist,Offer,Accepted,Needs improvement in communication.,Panelist 23,,2025-11-17,2025-10-21,27,Referral,2971831,7
Candidate 366,Data Scientist,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 10,,2025-09-26,2025-09-08,18,Internal,1905578,10
Candidate 367,Data Scientist,Technical Interview,Rejected,Needs improvement in time complexity.,Panelist 19,No show/interview abandoned,2025-09-29,2025-09-16,13,Internal,2740664,10
Candidate 368,Data Scientist,Offer,Accepted,Needs improvement in time complexity.,Panelist 11,,2025-11-19,2025-11-02,17,Other,3423348,8
Candidate 369,Data Scientist,Applied,Rejected,,,Code test failed,2025-09-01,2025-09-01,0,Other,1919755,2
